patient_id,model,member,scenario,image_id,image_member,score,value
14393,model_1,1,E,00014393_002.png,1,h,0.026688039302825928
14393,model_1,1,E,00014393_002.png,1,negative_u,-0.3030516505241394
14393,model_1,1,E,00014393_002.png,1,negative_v,0.01206350326538086
14393,model_1,1,E,00014393_002.png,1,negative_u_plus_v,-0.29098814725875854
14393,model_1,1,E,00014393_006.png,1,h,0.03231304883956909
14393,model_1,1,E,00014393_006.png,1,negative_u,-0.26978838443756104
14393,model_1,1,E,00014393_006.png,1,negative_v,0.015207380056381226
14393,model_1,1,E,00014393_006.png,1,negative_u_plus_v,-0.2545810043811798
14393,model_1,1,U,00014393_001.png,0,h,0.02607947587966919
14393,model_1,1,U,00014393_001.png,0,negative_u,-0.2599949836730957
14393,model_1,1,U,00014393_001.png,0,negative_v,0.012765184044837952
14393,model_1,1,U,00014393_001.png,0,negative_u_plus_v,-0.24722979962825775
14393,model_1,1,U,00014393_004.png,0,h,0.026675909757614136
14393,model_1,1,U,00014393_004.png,0,negative_u,-0.2830108404159546
14393,model_1,1,U,00014393_004.png,0,negative_v,0.013293147087097168
14393,model_1,1,U,00014393_004.png,0,negative_u_plus_v,-0.2697176933288574
14393,model_2,0,E,00014393_002.png,0,h,0.029697448015213013
14393,model_2,0,E,00014393_002.png,0,negative_u,-0.3043285310268402
14393,model_2,0,E,00014393_002.png,0,negative_v,0.012326359748840332
14393,model_2,0,E,00014393_002.png,0,negative_u_plus_v,-0.2920021712779999
14393,model_2,0,E,00014393_006.png,0,h,0.02209019660949707
14393,model_2,0,E,00014393_006.png,0,negative_u,-0.2708853483200073
14393,model_2,0,E,00014393_006.png,0,negative_v,0.01745915412902832
14393,model_2,0,E,00014393_006.png,0,negative_u_plus_v,-0.253426194190979
14393,model_2,0,U,00014393_001.png,0,h,0.016351968050003052
14393,model_2,0,U,00014393_001.png,0,negative_u,-0.26180902123451233
14393,model_2,0,U,00014393_001.png,0,negative_v,0.012620270252227783
14393,model_2,0,U,00014393_001.png,0,negative_u_plus_v,-0.24918875098228455
14393,model_2,0,U,00014393_004.png,0,h,0.02720952033996582
14393,model_2,0,U,00014393_004.png,0,negative_u,-0.2857056260108948
14393,model_2,0,U,00014393_004.png,0,negative_v,0.012736082077026367
14393,model_2,0,U,00014393_004.png,0,negative_u_plus_v,-0.2729695439338684
